Date,Open,High,Low,Close,Adj Close,Volume
2023-01-13,214.490005,216.830002,212.899994,216.610001,214.344116,1997100
2023-01-17,217.020004,217.020004,211.929993,212.240005,210.019821,3281300
2023-01-18,210.889999,210.889999,203.979996,204.240005,202.103516,5101400
2023-01-19,204.300003,204.380005,200.220001,200.660004,198.560959,4549100
2023-01-20,199.570007,202.660004,198.809998,202.029999,199.916626,3977500
2023-01-23,202.550003,205.850006,201.380005,204.460007,202.321213,2799700
2023-01-24,203.960007,207.679993,202.229996,206.929993,204.765366,3217200
2023-01-25,204.539993,207.149994,203.759995,206.669998,204.508087,2154700
2023-01-26,207.800003,209.419998,205.889999,209.350006,207.160049,1927300
2023-01-27,207.889999,209.830002,207.639999,208.130005,205.952805,2122400
2023-01-30,206.529999,209.389999,205.610001,205.779999,203.627396,2545700
2023-01-31,206.570007,208.570007,205.509995,208.479996,206.299149,2298800
2023-02-01,207.410004,208.449997,203.809998,206.720001,204.557571,5392200
2023-02-02,198.949997,208.220001,197.690002,207.380005,205.210663,7183500
2023-02-03,207.199997,207.199997,201.619995,202.690002,200.569717,4457700
2023-02-06,202.250000,204.130005,200.759995,204.039993,201.905579,2854200
2023-02-07,203.000000,206.020004,201.779999,205.470001,203.320633,2947800
2023-02-08,203.899994,204.809998,201.210007,202.220001,200.104645,3562200
2023-02-09,203.360001,203.929993,198.639999,199.220001,197.136017,3013300
2023-02-10,198.809998,200.830002,198.369995,200.470001,198.372955,2890700
2023-02-13,200.190002,203.740005,199.750000,203.369995,201.242599,2973200
2023-02-14,203.089996,203.100006,198.669998,201.000000,198.897400,2999400
2023-02-15,199.800003,201.740005,198.860001,201.710007,199.599976,2532200
2023-02-16,198.770004,201.539993,197.979996,199.360001,197.274551,2754900
2023-02-17,199.259995,201.979996,198.660004,201.419998,199.313004,2850400
2023-02-21,201.570007,201.649994,196.449997,196.759995,194.701752,2830900
2023-02-22,197.080002,197.490005,194.619995,195.490005,193.445038,2963300
2023-02-23,196.039993,196.039993,192.580002,195.020004,194.002121,2446600
2023-02-24,193.889999,193.889999,190.860001,192.039993,191.037659,3305500
2023-02-27,194.419998,195.000000,191.740005,192.449997,191.445526,3363100
2023-02-28,191.509995,192.360001,189.630005,191.479996,190.480591,3110100
2023-03-01,190.630005,194.350006,190.570007,192.880005,191.873291,3231700
2023-03-02,191.589996,195.119995,191.500000,194.449997,193.435089,4254300
2023-03-03,195.440002,197.539993,194.220001,196.820007,195.792725,3116500
2023-03-06,197.190002,199.309998,196.649994,197.039993,196.011566,2721800
2023-03-07,197.419998,198.199997,194.750000,195.619995,194.598969,2781000
2023-03-08,196.279999,196.649994,194.130005,195.570007,194.549255,2064900
2023-03-09,196.880005,196.949997,192.350006,192.880005,191.873291,3188600
2023-03-10,192.880005,196.679993,191.889999,193.330002,192.320938,3667100
2023-03-13,193.000000,195.229996,192.169998,193.100006,192.092133,3223600
2023-03-14,196.059998,196.169998,190.169998,192.970001,191.962814,4853200
2023-03-15,190.070007,191.009995,184.759995,188.119995,187.138123,3926300
2023-03-16,187.369995,189.770004,186.300003,189.139999,188.152802,3852200
2023-03-17,187.809998,188.009995,184.229996,184.639999,183.676285,7383700
2023-03-20,185.960007,190.240005,185.509995,189.880005,188.888947,2840800
2023-03-21,191.070007,192.139999,189.149994,191.160004,190.162262,3133900
2023-03-22,191.720001,192.000000,187.080002,187.160004,186.183136,2348500
2023-03-23,186.860001,189.419998,185.550003,186.919998,185.944382,2360100
2023-03-24,186.389999,188.220001,184.600006,188.160004,187.177917,2332300
2023-03-27,188.630005,189.589996,187.429993,187.990005,187.008804,2133100
2023-03-28,187.750000,189.610001,187.399994,187.919998,186.939163,2069700
2023-03-29,189.660004,189.710007,187.770004,189.070007,188.083176,2684200
2023-03-30,189.610001,190.440002,187.979996,189.119995,188.132904,1999400
2023-03-31,190.119995,191.380005,189.330002,191.119995,190.122467,2702600
2023-04-03,190.570007,193.899994,189.960007,193.279999,192.271194,2873600
2023-04-04,193.119995,193.229996,189.679993,190.940002,189.943405,2499100
2023-04-05,190.289993,191.009995,189.279999,189.429993,188.441284,3029800
2023-04-06,189.610001,192.110001,189.009995,190.460007,189.465927,2782300
2023-04-10,190.740005,192.600006,190.320007,191.679993,190.679535,2540200
2023-04-11,192.880005,193.160004,191.820007,192.190002,191.186890,2435600
2023-04-12,193.460007,194.869995,192.330002,193.229996,192.221451,3656800
2023-04-13,193.250000,196.419998,192.600006,195.899994,194.877518,3360600
2023-04-14,195.630005,197.729996,195.250000,196.550003,195.524124,1963900
2023-04-17,197.179993,198.070007,196.740005,197.860001,196.827286,1682700
2023-04-18,198.720001,199.470001,196.220001,196.929993,195.902130,2400000
2023-04-19,198.250000,198.660004,197.220001,197.809998,196.777542,1864100
2023-04-20,197.500000,197.759995,196.000000,196.750000,195.723083,1947100
2023-04-21,197.089996,197.350006,195.399994,196.080002,195.056580,1970700
2023-04-24,197.210007,198.080002,196.270004,196.779999,195.752930,1605600
2023-04-25,198.520004,198.910004,195.860001,195.960007,194.937210,2244300
2023-04-26,193.880005,194.470001,190.179993,190.899994,189.903610,3579400
2023-04-27,195.940002,198.850006,193.570007,198.610001,197.573380,3862400
2023-04-28,199.000000,200.809998,198.490005,199.839996,198.796951,2863100
2023-05-01,200.000000,202.160004,199.960007,200.479996,199.433609,2224900
2023-05-02,199.660004,199.660004,196.369995,198.259995,197.225189,2588100
2023-05-03,199.850006,200.610001,197.710007,197.960007,196.926773,2775300
2023-05-04,198.220001,199.000000,194.929993,196.220001,195.195847,2304800
2023-05-05,197.339996,198.589996,196.779999,198.419998,197.384369,2088100
2023-05-08,199.750000,199.979996,195.970001,196.949997,195.922043,1494500
2023-05-09,195.960007,198.289993,194.960007,197.130005,196.101105,2237700
2023-05-10,197.490005,198.740005,194.320007,197.339996,196.309998,2158300
